Species,Region,Pollution_Level,Illegal_Wildlife_Trade_Rate,Food_Availability,Human_Population_Density,Species_Reproduction_Rate,Climate_Change_Impact,Protected_Area_Presence,Invasive_Species_Presence,Extinction_Risk
Galapagos Penguin,South Asia,71.94,23.36,16.56,15.05,1.97,83.74,0,0,0
Black Rhino,Oceania,77.37,60.53,6.06,15.3,1.97,74.65,0,0,1
African Elephant,South America,43.25,43.02,13.77,33.47,2.05,64.97,1,1,0
Iberian Lynx,Central Asia,52.3,27.14,29.3,38.0,2.17,78.4,1,0,0
Whooping Crane,Europe,70.48,47.94,43.49,11.27,2.0,62.5,1,1,0
Hellbender Salamander,South America,68.93,66.0,54.47,44.71,1.98,73.37,1,0,0
Hawksbill Turtle,East Asia,66.42,33.58,0.77,16.19,1.54,84.77,0,1,1
Hawksbill Turtle,Oceania,70.23,80.37,3.73,8.62,2.7,75.21,1,0,0
Snow Leopard,East Asia,57.24,39.11,3.56,24.04,2.19,83.2,0,0,0
Giant Panda,South America,74.55,51.13,45.44,23.74,2.07,52.08,0,1,1
Pangolin,South America,86.15,34.15,35.55,42.05,1.78,84.33,0,0,1
Pangolin,Sub-Saharan Africa,78.62,50.54,23.34,106.84,1.65,73.09,1,0,1
Vaquita,South Asia,48.6,48.26,15.72,33.02,2.3,81.45,0,0,0
Orangutan,Middle East,93.51,30.64,28.34,46.35,1.94,89.84,1,0,0
Asian Elephant,Europe,93.01,86.74,15.58,6.36,2.22,59.02,1,1,1
Saola,South America,87.81,43.56,5.98,69.26,1.53,85.83,0,0,1
Asian Elephant,Middle East,84.73,43.57,64.55,27.32,2.54,89.25,0,1,1
Hellbender Salamander,South America,83.86,62.6,24.34,9.38,2.32,73.44,0,0,0
Orangutan,North America,51.04,73.59,9.65,67.44,1.97,87.36,1,1,1
Hawksbill Turtle,South Asia,85.57,64.64,18.23,28.27,2.16,74.23,1,0,1
California Condor,South Asia,83.65,34.38,40.91,59.94,2.26,54.09,1,0,1
Iberian Lynx,East Asia,87.25,52.78,37.07,114.64,1.53,86.03,1,1,1
Orangutan,Central Asia,60.43,25.54,10.99,7.15,2.59,64.83,0,0,0
Iberian Lynx,Middle East,80.15,61.72,15.29,15.6,2.17,82.28,0,1,1
Red Panda,Europe,62.78,28.74,54.45,52.63,1.75,91.18,0,1,1
Whooping Crane,Middle East,90.25,39.56,29.97,29.81,1.62,84.93,1,1,0
Blue Whale,East Asia,32.75,49.96,35.15,1.96,2.35,84.55,0,1,1
Hellbender Salamander,North America,73.34,55.79,13.85,21.91,2.07,74.7,1,0,1
California Condor,Middle East,91.78,46.61,4.38,24.93,2.17,68.64,0,1,0
Mountain Gorilla,South America,60.17,69.75,19.89,28.3,2.01,89.72,1,0,0
Mountain Gorilla,Southeast Asia,92.18,59.4,27.31,15.09,1.65,47.28,0,0,1
Pangolin,Oceania,75.94,58.38,36.65,81.56,2.18,60.28,1,1,0
Bengal Tiger,Europe,76.72,34.02,21.19,6.37,1.93,77.53,0,0,0
Orangutan,Europe,87.88,72.09,1.4,39.83,1.99,80.36,0,0,0
Amur Leopard,South Asia,36.17,39.56,31.87,18.61,2.83,86.82,0,1,0
Hellbender Salamander,Central Asia,77.51,72.59,31.41,17.45,2.3,73.24,0,0,0
Hellbender Salamander,Europe,70.86,76.29,7.64,74.25,2.32,85.25,0,1,1
Giant Panda,East Asia,86.84,56.66,28.76,23.85,2.95,78.94,1,1,1
Whooping Crane,South Asia,54.36,63.42,69.97,40.0,2.13,84.03,0,1,1
African Elephant,South America,62.13,9.92,52.47,55.19,2.04,93.65,1,0,0
Sea Otter,Oceania,67.48,47.46,57.01,30.89,1.76,42.37,1,1,0
Sumatran Tiger,Central Asia,57.53,64.33,12.57,74.97,1.84,56.23,0,0,0
Whooping Crane,Southeast Asia,69.63,62.02,37.18,8.42,1.28,92.42,0,1,0
Hawksbill Turtle,South America,70.81,34.14,2.23,41.83,2.28,62.48,1,0,0
Whooping Crane,South America,76.57,46.18,19.7,107.61,1.56,43.8,1,1,0
African Elephant,South Asia,68.1,17.03,23.69,39.24,2.32,50.51,1,0,0
Red Panda,Southeast Asia,58.73,55.37,30.69,4.83,1.98,85.52,0,1,1
Saola,Southeast Asia,62.0,25.52,39.73,42.93,2.04,64.52,0,1,0
Orangutan,Europe,53.89,64.7,32.36,83.84,1.99,74.44,0,0,0
Snow Leopard,Southeast Asia,58.21,65.38,13.01,22.15,2.49,76.15,0,0,0
Galapagos Penguin,Europe,75.19,43.83,18.98,21.92,2.42,72.2,1,0,1
Black Rhino,East Asia,71.77,56.78,20.98,51.11,1.99,76.49,0,1,1
Kakapo,Oceania,74.38,47.18,26.67,44.59,1.69,84.26,1,1,0
Amur Leopard,East Asia,94.7,53.14,82.44,31.78,2.32,93.56,0,0,1
Vaquita,North America,69.26,35.09,47.45,16.08,1.66,90.31,1,1,1
Whooping Crane,Middle East,68.69,58.09,13.79,20.16,1.46,85.12,1,1,0
African Elephant,North America,56.53,28.66,36.91,12.06,2.17,92.51,0,1,1
Sea Otter,Middle East,98.56,26.21,2.24,4.21,2.43,81.72,0,1,1
Sea Otter,North America,92.27,48.41,20.0,69.3,1.86,83.19,0,0,0
Vaquita,Southeast Asia,69.87,47.25,10.37,53.12,2.14,55.42,1,1,0
Blue Whale,South America,77.26,53.54,24.27,49.37,1.85,53.2,1,1,0
Snow Leopard,North America,79.76,41.56,28.41,48.7,2.25,88.07,0,1,1
California Condor,East Asia,56.46,74.51,32.02,25.58,2.38,47.8,0,0,1
California Condor,Oceania,89.71,52.09,35.2,22.86,1.91,67.79,1,1,1
Blue Whale,South America,48.65,53.03,1.2,9.48,1.64,72.18,1,0,0
Snow Leopard,Middle East,73.37,52.56,3.52,56.35,1.49,80.32,0,1,1
Giant Panda,Sub-Saharan Africa,76.57,63.04,17.24,151.03,2.32,64.89,1,1,1
Bengal Tiger,Sub-Saharan Africa,55.37,57.49,26.2,41.57,1.6,81.58,1,1,0
Asian Elephant,Europe,57.07,55.75,18.76,62.2,2.13,93.77,0,1,1
Whooping Crane,South Asia,89.75,59.57,23.76,62.38,2.27,95.52,0,0,1
Giant Panda,South America,83.75,26.28,18.34,87.61,1.82,73.39,0,0,1
Sea Otter,South Asia,94.15,26.77,24.09,14.23,5.47,65.39,1,1,1
Mountain Gorilla,Europe,42.32,49.01,20.09,6.5,2.35,64.64,1,1,0
Vaquita,North America,59.4,47.43,0.53,35.52,1.72,66.93,0,1,0
Axolotl,Sub-Saharan Africa,74.76,57.54,56.64,27.53,1.68,72.93,0,1,0
Javan Rhino,East Asia,76.93,50.26,13.46,142.49,1.92,68.15,1,1,1
Sumatran Tiger,Oceania,88.79,57.56,12.17,12.24,2.45,84.57,0,0,0
Bengal Tiger,Sub-Saharan Africa,71.55,33.81,56.0,106.53,2.56,76.1,0,0,0
Mountain Gorilla,Sub-Saharan Africa,41.46,49.86,7.9,27.75,1.97,62.14,0,0,0
Orangutan,Oceania,57.58,32.57,7.86,10.88,1.75,89.81,0,0,0
Orangutan,East Asia,78.19,55.03,32.96,93.38,2.37,46.37,1,1,0
Hellbender Salamander,Central Asia,26.34,25.58,12.88,14.44,1.42,84.95,1,1,0
Galapagos Penguin,Middle East,81.19,54.53,23.95,62.47,2.09,29.96,0,1,1
Black Rhino,Central Asia,69.94,30.9,22.48,36.32,1.98,59.71,0,1,0
Hellbender Salamander,Middle East,49.77,45.01,44.2,106.28,2.45,83.55,0,1,0
Red Panda,South Asia,66.02,61.63,6.66,72.17,2.49,67.32,1,1,1
Red Panda,Sub-Saharan Africa,36.94,52.96,39.63,27.17,1.67,93.23,1,0,0
Amur Leopard,Sub-Saharan Africa,94.05,28.61,28.02,93.71,2.06,80.18,1,1,0
Giant Panda,Europe,87.31,41.26,12.48,45.49,1.8,72.89,0,1,1
California Condor,Oceania,69.83,30.48,0.4,32.46,1.9,87.94,0,1,0
Snow Leopard,Oceania,78.29,27.97,6.51,35.71,2.22,49.91,1,1,0
Mountain Gorilla,Central Asia,65.36,51.53,1.31,64.22,1.88,97.95,1,1,0
Hawksbill Turtle,South America,71.92,57.28,38.75,26.05,2.07,82.82,1,0,0
Blue Whale,South Asia,75.31,55.73,29.72,20.31,2.34,51.44,0,0,1
Giant Panda,Europe,76.64,57.83,66.17,16.4,2.53,82.77,0,1,0
Snow Leopard,Central Asia,63.39,49.85,23.87,41.14,2.1,78.07,1,0,0
Kakapo,Europe,85.64,46.45,7.34,17.47,2.04,74.08,1,0,0
Hellbender Salamander,South America,70.33,36.05,28.61,64.9,1.61,50.7,0,1,0
Giant Panda,Southeast Asia,84.02,44.28,27.13,25.54,2.56,47.02,0,1,1
Orangutan,Central Asia,84.5,32.82,34.27,48.15,2.17,59.97,1,1,1
Red Panda,Middle East,93.84,39.01,22.74,75.05,2.05,64.21,1,0,1
California Condor,North America,69.1,51.16,42.43,89.38,2.03,75.3,1,1,1
Javan Rhino,Sub-Saharan Africa,64.33,48.47,15.7,38.0,2.13,73.56,1,0,0
Galapagos Penguin,South America,78.08,89.84,28.97,3.53,2.27,89.42,0,0,1
Axolotl,Sub-Saharan Africa,76.34,32.5,15.74,3.82,2.31,69.41,1,0,0
Amur Leopard,Southeast Asia,91.29,48.37,21.05,63.67,2.56,80.52,1,1,1
Mountain Gorilla,Europe,48.87,31.49,15.94,13.52,2.08,61.09,1,0,0
Sumatran Tiger,North America,83.19,44.96,28.6,24.57,2.61,77.4,0,1,1
Asian Elephant,Southeast Asia,68.51,45.49,31.98,70.45,5.75,74.02,1,0,1
Snow Leopard,North America,37.01,60.98,34.3,20.54,1.98,53.09,1,1,0
Javan Rhino,Europe,72.84,44.15,11.98,9.51,1.42,65.9,1,0,1
African Elephant,North America,74.63,47.51,24.02,25.24,2.03,87.19,0,0,0
Sea Otter,North America,70.43,44.41,16.9,55.18,2.55,87.62,1,1,1
Asian Elephant,South Asia,28.08,31.79,9.89,20.19,1.73,66.93,0,1,0
Giant Panda,Central Asia,43.42,41.52,11.82,49.8,2.03,58.0,0,0,0
Amur Leopard,Oceania,82.91,45.03,31.72,9.83,2.06,82.86,0,1,1
Giant Panda,North America,78.04,50.96,54.24,15.96,2.33,68.11,0,0,1
Axolotl,North America,92.31,57.27,9.9,25.54,1.86,89.61,1,1,0
California Condor,Sub-Saharan Africa,65.84,46.95,17.93,77.03,1.7,72.92,1,0,1
African Elephant,East Asia,60.28,46.72,51.26,22.45,2.2,61.6,1,0,0
Vaquita,Oceania,84.19,27.63,6.48,19.76,1.74,71.68,0,1,0
Hellbender Salamander,Central Asia,66.95,57.02,13.47,19.83,1.36,71.85,1,0,0
Orangutan,Sub-Saharan Africa,88.12,40.95,29.65,49.76,2.64,83.25,0,0,1
Giant Panda,South America,80.76,59.71,28.99,59.08,2.32,39.58,1,1,0
Red Panda,North America,55.49,67.11,70.86,74.67,2.66,84.17,0,1,1
Red Panda,South America,52.86,47.56,21.7,117.75,2.31,79.99,1,1,1
Kakapo,North America,83.7,36.7,24.16,41.35,2.24,89.23,0,0,0
Orangutan,Central Asia,37.15,49.78,25.59,17.68,2.13,30.84,1,0,1
California Condor,Europe,32.27,54.53,27.46,28.53,1.93,82.61,1,0,0
Pangolin,Central Asia,89.61,45.9,2.47,14.18,2.18,76.58,1,0,1
Orangutan,Southeast Asia,69.04,42.67,26.82,35.84,1.81,67.42,0,1,1
Hellbender Salamander,Southeast Asia,65.37,57.33,23.24,16.45,1.63,81.0,0,0,1
California Condor,South Asia,49.53,56.47,53.89,74.36,1.88,76.74,1,1,1
Red Panda,Central Asia,67.59,45.5,14.01,38.98,2.45,77.07,1,0,0
Snow Leopard,North America,93.97,28.5,16.4,91.11,1.57,88.91,0,1,1
Axolotl,North America,59.08,55.93,38.09,57.59,1.57,63.7,0,0,0
Pangolin,South Asia,96.57,40.02,41.44,53.9,2.21,77.61,0,0,1
Giant Panda,Sub-Saharan Africa,80.02,52.79,53.94,9.44,1.85,96.6,1,0,0
Iberian Lynx,Southeast Asia,65.93,51.97,76.97,49.69,2.17,79.85,0,0,0
Sumatran Tiger,Oceania,64.89,25.44,36.4,116.07,2.35,74.47,0,0,0
African Elephant,Southeast Asia,58.03,51.05,8.63,23.02,2.16,89.85,1,0,0
Sea Otter,Europe,90.4,56.69,25.27,66.64,1.78,80.63,0,1,1
Giant Panda,Sub-Saharan Africa,68.37,58.28,4.83,6.85,2.45,89.62,0,0,1
Sea Otter,Oceania,76.58,51.53,4.84,12.3,2.26,79.78,1,0,0
Amur Leopard,Europe,69.63,24.3,54.52,30.14,2.01,61.39,1,1,0
Snow Leopard,Southeast Asia,82.02,66.6,11.37,20.04,1.99,80.04,0,1,1
Hellbender Salamander,Southeast Asia,77.94,55.34,28.69,16.23,2.13,89.54,0,0,0
Mountain Gorilla,Oceania,56.85,34.36,26.78,20.12,1.89,80.25,1,1,0
Axolotl,Oceania,65.94,39.76,33.75,45.8,1.43,78.78,1,0,1
Mountain Gorilla,South Asia,62.39,53.01,19.8,67.21,2.26,77.03,1,0,0
California Condor,Sub-Saharan Africa,75.46,58.84,20.71,48.65,2.24,79.39,0,0,1
Sea Otter,Sub-Saharan Africa,83.8,43.66,52.41,50.7,1.19,87.18,1,1,1
Asian Elephant,South Asia,45.24,60.73,55.55,31.18,2.18,71.92,0,0,0
Amur Leopard,Europe,81.07,26.69,26.75,11.97,2.61,65.27,1,1,0
Saola,East Asia,83.3,36.45,13.22,29.28,1.61,94.77,1,0,1
Iberian Lynx,Europe,63.46,23.16,29.69,36.54,1.97,83.46,0,0,1
Galapagos Penguin,East Asia,54.63,38.33,6.69,69.3,1.94,94.56,1,0,0
Sumatran Tiger,Oceania,71.19,69.61,30.17,100.92,2.58,58.07,0,0,1
Snow Leopard,Middle East,82.83,76.75,57.37,43.04,2.39,73.8,1,1,1
Kakapo,South America,77.16,53.05,18.9,64.42,1.69,79.1,1,0,0
African Elephant,Oceania,68.69,41.7,69.65,2.66,2.12,67.84,0,1,1
Orangutan,North America,62.48,47.12,27.32,25.19,2.81,70.21,0,0,0
Asian Elephant,Sub-Saharan Africa,90.85,56.15,38.64,31.07,1.78,98.4,0,0,0
Blue Whale,South America,67.24,29.68,41.95,47.75,2.0,86.27,0,0,0
Galapagos Penguin,South America,69.49,42.56,24.27,102.54,2.18,86.27,0,0,0
Saola,South America,89.59,68.65,5.2,41.15,1.79,82.31,0,0,0
Hawksbill Turtle,North America,60.0,36.41,20.21,5.88,2.62,80.36,1,1,0
Black Rhino,Central Asia,63.07,40.26,30.48,51.13,1.83,81.06,1,0,0
Pangolin,North America,60.75,50.17,55.52,23.69,1.51,60.91,0,0,0
Galapagos Penguin,Sub-Saharan Africa,34.32,53.68,16.5,47.61,1.82,97.56,1,0,1
Iberian Lynx,East Asia,81.1,41.87,29.49,54.18,2.23,94.89,0,1,1
California Condor,Middle East,77.93,51.0,49.37,5.41,1.72,85.05,0,0,0
Sumatran Tiger,Central Asia,49.62,57.9,23.11,29.79,2.11,83.98,1,1,0
Sea Otter,South America,81.66,75.5,62.9,30.67,2.2,59.12,0,0,1
Iberian Lynx,Middle East,56.84,48.36,16.93,40.78,1.58,76.23,0,0,1
Orangutan,East Asia,88.07,49.46,4.84,17.37,1.8,74.71,1,1,0
Amur Leopard,South America,50.07,69.86,26.91,13.29,2.12,83.19,0,1,0
African Elephant,South Asia,82.4,42.86,12.39,101.41,2.25,55.71,0,1,1
Vaquita,Middle East,52.22,32.78,10.11,37.74,1.81,87.09,1,0,0
California Condor,Sub-Saharan Africa,75.82,53.25,26.45,14.62,2.05,82.89,0,1,0
Amur Leopard,South America,72.71,63.99,21.86,20.52,1.9,72.87,1,0,0
African Elephant,Central Asia,56.38,54.69,63.08,104.58,2.25,93.87,0,1,1
Kakapo,Middle East,68.53,48.74,8.69,78.64,2.18,72.92,0,1,1
Hellbender Salamander,Middle East,81.78,31.17,10.04,18.64,1.87,81.14,1,1,0
Sumatran Tiger,Middle East,72.76,49.24,46.61,12.14,2.17,93.31,1,0,1
Blue Whale,Central Asia,80.9,66.03,6.49,13.02,1.86,62.91,0,0,0
Saola,South Asia,66.83,33.96,32.05,72.96,2.16,93.65,1,0,0
Pangolin,South America,72.17,46.82,7.0,22.39,4.57,84.49,0,0,1
Blue Whale,East Asia,68.74,44.96,44.4,7.75,2.83,87.12,1,1,0
Blue Whale,Europe,80.13,40.93,17.34,21.07,1.88,97.54,1,0,0
Hawksbill Turtle,South Asia,88.45,53.22,16.96,40.45,1.95,93.73,1,1,1
Hellbender Salamander,East Asia,56.39,55.76,18.08,29.37,1.77,97.29,0,1,1
Sea Otter,Middle East,81.85,55.63,23.59,79.57,1.64,62.88,0,0,1
Sumatran Tiger,Europe,94.96,37.3,5.54,40.83,1.84,80.8,1,0,1
Asian Elephant,Europe,22.87,28.6,13.83,45.08,2.23,93.73,0,1,0
California Condor,Oceania,63.21,53.41,3.96,61.71,2.26,69.16,1,1,0
African Elephant,North America,60.36,43.42,7.97,59.44,2.1,74.77,0,0,1
Whooping Crane,Southeast Asia,59.96,73.9,16.92,20.98,1.9,97.06,1,1,0
Bengal Tiger,Oceania,94.2,74.5,18.69,12.35,1.83,68.03,0,1,1
Saola,Southeast Asia,53.08,75.88,58.38,38.42,1.68,88.61,0,0,1
Axolotl,Sub-Saharan Africa,79.29,37.78,6.47,34.51,1.81,81.09,1,0,0
Black Rhino,Central Asia,56.67,57.4,59.81,41.06,1.55,80.08,0,0,0
Giant Panda,Sub-Saharan Africa,67.61,61.32,27.2,43.66,2.48,71.81,0,1,1
Mountain Gorilla,Oceania,66.39,59.86,46.98,96.26,2.64,73.61,1,1,0
Asian Elephant,South Asia,83.58,45.39,23.84,25.95,1.32,82.55,0,1,1
Orangutan,North America,72.69,66.63,52.65,44.95,2.1,60.8,0,1,1
Orangutan,Southeast Asia,76.62,50.01,42.53,12.3,2.1,81.43,0,0,0
California Condor,North America,76.96,51.67,17.92,16.2,2.07,78.85,1,1,0
Giant Panda,Middle East,85.9,30.01,3.31,32.87,1.79,74.4,0,1,1
Whooping Crane,East Asia,90.72,58.38,2.33,14.15,2.36,48.39,0,0,0
California Condor,Sub-Saharan Africa,84.61,46.61,26.29,51.85,2.14,93.64,0,0,0
Axolotl,South Asia,65.56,56.04,15.98,46.38,2.36,68.33,1,0,0
Mountain Gorilla,East Asia,81.28,53.06,34.79,18.87,1.74,80.63,0,1,1
Giant Panda,Europe,84.02,52.35,63.07,27.49,1.52,84.22,0,0,0
Orangutan,Europe,79.02,49.41,36.25,73.48,2.15,90.48,0,0,1
Axolotl,South Asia,61.1,60.23,8.7,38.08,1.66,82.28,1,0,0
Giant Panda,Europe,88.24,47.41,12.51,134.88,2.37,75.63,0,0,1
Saola,Oceania,71.91,31.08,25.16,27.51,1.26,79.81,0,1,0
African Elephant,South America,86.82,57.4,49.54,30.12,1.84,42.15,0,0,0
Pangolin,Central Asia,58.58,39.48,25.15,32.87,1.78,91.84,0,1,1
Snow Leopard,Sub-Saharan Africa,76.89,32.78,46.02,6.72,1.88,92.6,0,0,1
Javan Rhino,Southeast Asia,87.18,36.71,6.44,29.03,2.09,76.63,0,1,1
Bengal Tiger,South America,91.78,53.68,14.86,28.23,2.14,94.95,1,1,0
Mountain Gorilla,Sub-Saharan Africa,75.64,48.75,51.72,55.27,2.22,79.51,0,1,1
Mountain Gorilla,Oceania,89.0,22.28,16.24,75.54,2.26,98.63,0,1,0
Asian Elephant,Europe,87.12,45.01,28.91,25.64,1.94,82.81,1,0,1
Bengal Tiger,South America,92.4,65.2,50.74,3.5,2.74,96.22,0,1,1
Amur Leopard,Southeast Asia,74.96,44.13,12.69,36.84,2.49,74.22,0,0,0
Axolotl,South America,66.33,47.85,18.67,13.99,1.89,68.53,1,1,0
Red Panda,Sub-Saharan Africa,58.09,63.56,9.21,39.33,1.95,89.23,0,1,1
Javan Rhino,South Asia,68.9,60.34,24.92,38.57,1.88,53.47,1,1,1
Asian Elephant,Southeast Asia,72.74,63.28,14.95,17.64,2.13,78.22,1,0,1
Vaquita,East Asia,84.47,13.96,42.25,37.07,1.66,98.58,1,0,0
Asian Elephant,East Asia,86.18,72.54,29.15,8.03,1.72,54.66,0,1,0
Orangutan,Central Asia,76.15,58.27,23.81,41.16,1.24,86.83,1,1,1
Hellbender Salamander,North America,88.94,82.0,18.9,58.99,1.86,72.07,1,1,1
Red Panda,Sub-Saharan Africa,45.14,39.83,5.53,47.9,2.37,52.96,1,1,0
Sea Otter,North America,80.9,27.08,41.19,21.39,1.95,91.74,0,1,1
Sumatran Tiger,North America,89.87,50.09,28.51,55.92,1.97,82.85,1,0,0
Galapagos Penguin,Europe,36.15,46.42,18.43,51.47,2.1,63.63,1,1,0
Sumatran Tiger,Southeast Asia,56.29,58.5,30.79,53.15,1.65,97.8,1,0,0
Pangolin,Central Asia,72.19,63.97,11.5,81.83,2.01,88.72,1,0,1
Bengal Tiger,Oceania,87.58,48.87,29.44,44.08,2.31,72.37,0,0,0
Red Panda,East Asia,97.81,46.87,49.79,12.7,2.11,76.86,0,0,1
Mountain Gorilla,Oceania,77.52,56.8,25.48,14.81,2.34,66.7,1,0,0
Whooping Crane,South America,80.52,46.67,18.28,44.11,2.44,46.17,0,0,1
Hawksbill Turtle,Central Asia,89.23,45.58,21.22,28.67,2.23,63.56,0,1,1
Hawksbill Turtle,Central Asia,83.35,63.48,53.54,24.54,1.75,57.71,0,0,1
Blue Whale,North America,65.96,66.38,12.82,50.4,1.88,38.0,0,0,1
Kakapo,South Asia,55.71,64.09,19.54,10.55,2.68,54.64,1,1,0
Axolotl,Central Asia,89.46,47.81,24.97,51.12,2.11,78.06,1,1,0
California Condor,South Asia,92.52,22.18,2.77,27.34,2.06,48.36,0,0,0
Amur Leopard,Central Asia,75.57,48.07,19.83,42.0,1.7,36.55,1,0,0
Orangutan,Middle East,94.18,40.15,50.42,11.48,1.97,57.58,1,0,1
Bengal Tiger,South Asia,97.38,48.31,2.99,52.55,2.25,52.24,0,0,1
Snow Leopard,North America,91.45,41.28,12.04,66.37,2.01,68.72,1,1,0
Vaquita,Sub-Saharan Africa,46.71,49.73,13.76,211.76,1.82,86.34,0,0,1
California Condor,Europe,92.37,36.49,10.66,39.98,1.9,80.68,1,1,1
Pangolin,South Asia,52.62,33.35,9.76,64.75,2.42,77.21,0,0,0
Whooping Crane,Southeast Asia,53.66,65.89,15.65,14.11,2.23,76.8,1,0,0
African Elephant,South Asia,87.44,37.39,52.34,78.85,2.19,97.15,0,1,1
African Elephant,South America,63.02,50.0,7.11,8.65,2.15,82.69,1,0,0
Asian Elephant,Sub-Saharan Africa,64.13,62.41,7.96,100.46,1.59,84.42,0,1,1
African Elephant,East Asia,84.24,61.89,13.36,37.08,2.1,68.72,0,1,1
Bengal Tiger,North America,38.79,60.33,64.65,9.51,2.37,72.24,1,0,0
Amur Leopard,Europe,90.78,53.94,32.05,25.1,1.91,85.52,0,0,1
California Condor,Central Asia,90.57,59.41,29.25,64.27,2.34,81.73,0,0,1
Javan Rhino,North America,96.56,67.85,50.36,29.1,2.19,73.81,0,1,1
African Elephant,South Asia,88.94,55.53,14.66,28.79,2.29,64.28,1,1,0
Asian Elephant,Europe,84.47,26.12,19.67,60.2,2.02,70.44,0,0,0
Sumatran Tiger,South America,78.08,43.13,2.46,31.03,2.31,80.74,1,1,0
Asian Elephant,South Asia,55.92,59.05,24.68,75.5,1.49,80.76,0,0,0
Whooping Crane,Southeast Asia,66.5,41.85,21.7,20.83,2.01,86.68,0,1,0
Hawksbill Turtle,South America,94.5,71.06,43.1,6.12,2.25,97.12,0,1,1
Hellbender Salamander,North America,85.53,49.18,9.36,32.44,2.1,77.18,0,0,1
Black Rhino,South America,91.53,51.11,61.77,35.46,2.38,53.32,1,1,1
Asian Elephant,East Asia,80.16,64.62,65.76,20.16,1.95,56.96,1,1,1
Axolotl,Central Asia,72.49,47.62,16.48,41.14,1.81,61.77,0,0,0
Galapagos Penguin,South America,80.33,52.29,3.68,7.29,1.43,81.18,1,0,0
Iberian Lynx,Sub-Saharan Africa,72.48,61.69,19.87,42.01,1.9,75.3,1,0,1
Kakapo,Sub-Saharan Africa,71.89,30.86,45.99,12.12,2.18,88.78,1,0,0
Iberian Lynx,Sub-Saharan Africa,87.32,46.29,55.46,9.48,2.27,82.62,0,0,1
Galapagos Penguin,Europe,29.01,60.78,49.14,34.71,1.51,58.32,0,1,1
Sea Otter,North America,82.45,50.85,53.99,8.74,2.41,79.87,0,1,1
Giant Panda,Southeast Asia,80.14,69.08,8.12,4.05,1.66,88.3,1,0,0
Asian Elephant,Sub-Saharan Africa,93.8,29.51,5.28,46.14,1.96,52.77,0,1,1
Pangolin,Sub-Saharan Africa,71.43,28.03,10.34,13.44,1.8,48.62,1,0,0
Black Rhino,Europe,84.2,60.01,43.0,49.6,2.15,54.21,0,1,0
Red Panda,Middle East,74.22,61.26,46.34,26.5,2.03,63.81,1,0,1
Hellbender Salamander,East Asia,80.92,47.49,42.6,34.69,2.24,62.95,0,0,0
Sumatran Tiger,South Asia,79.12,55.21,24.83,64.97,2.65,80.4,1,0,1
Asian Elephant,Europe,63.23,59.69,4.25,44.34,2.14,86.46,0,0,1
Saola,Central Asia,45.67,39.42,13.22,50.36,1.8,61.12,1,1,0
Galapagos Penguin,Central Asia,80.79,40.81,40.72,49.07,2.16,62.87,1,1,0
Vaquita,North America,69.84,52.47,10.54,18.61,2.68,44.18,0,0,1
Javan Rhino,Middle East,71.88,61.75,17.75,42.91,2.23,56.02,0,0,0
Iberian Lynx,East Asia,74.5,34.84,38.5,15.05,2.33,83.29,1,0,0
Blue Whale,North America,89.5,47.43,32.2,42.98,1.44,73.48,0,1,1
Blue Whale,Oceania,89.5,46.82,31.65,25.52,2.14,83.09,0,1,0
Bengal Tiger,South America,46.17,55.43,32.16,29.8,1.91,86.54,0,0,0
Giant Panda,North America,52.93,49.89,31.0,92.97,1.76,63.66,1,0,0
Amur Leopard,South America,77.7,42.9,39.61,47.61,1.99,66.15,0,1,0
Saola,South Asia,74.58,66.23,11.92,19.83,2.04,79.83,0,0,1
Mountain Gorilla,East Asia,49.0,42.99,22.47,7.24,1.78,81.88,0,1,0
Amur Leopard,South Asia,82.43,46.2,10.58,35.53,2.07,65.07,0,0,0
Iberian Lynx,South America,79.76,29.31,27.61,8.27,1.94,72.34,0,0,0
Hawksbill Turtle,South America,88.03,40.72,16.31,100.94,2.25,98.05,1,0,0
Black Rhino,Central Asia,85.39,56.71,0.82,30.46,2.08,58.65,1,1,1
Vaquita,Middle East,81.6,54.17,45.77,60.57,2.13,94.24,0,0,1
Red Panda,Oceania,36.97,57.79,25.52,10.09,2.34,88.21,1,0,0
Vaquita,South America,92.45,57.16,23.29,46.75,2.19,75.23,1,1,1
Sea Otter,Central Asia,46.0,77.14,6.63,69.42,2.0,73.85,1,0,1
Black Rhino,East Asia,65.06,40.28,56.04,49.5,1.27,97.13,0,0,0
Amur Leopard,Southeast Asia,81.31,28.95,17.97,57.44,2.18,90.12,1,0,0
Vaquita,South America,82.84,36.34,5.53,43.74,1.68,77.48,1,1,0
Mountain Gorilla,Middle East,50.58,40.85,41.75,23.69,1.97,92.69,0,1,1
Javan Rhino,South Asia,82.57,37.33,10.58,15.6,2.13,74.97,1,1,0
Hawksbill Turtle,North America,87.77,51.22,6.52,17.85,2.47,59.83,0,1,0
Orangutan,Europe,83.08,66.28,26.02,102.54,2.64,75.37,1,0,0
Galapagos Penguin,South Asia,80.78,70.02,26.51,38.34,1.68,80.69,1,0,1
California Condor,North America,51.55,56.56,26.47,73.9,1.54,77.66,1,0,0
Kakapo,Sub-Saharan Africa,81.56,77.84,30.92,20.82,2.11,96.11,0,0,1
Whooping Crane,South Asia,78.27,45.37,18.46,55.08,2.08,89.45,1,0,1
